time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-06-23 03:32:03.694666,6:27:05.850000,OFF,MODE_15W_6CORE,13,17,14,12,14,19,0,0,0,1286420,1286420,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.45,2502,3436
2021-06-23 03:32:03.697114,6:27:05.850000,OFF,MODE_15W_6CORE,13,17,14,12,14,19,0,0,0,1286420,1286420,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.45,2502,3436
2021-06-23 03:32:04.253378,6:27:06.410000,OFF,MODE_15W_6CORE,29,19,21,20,44,38,0,0,0,1296240,1296240,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.5,42.5,43.15,3363,3363
2021-06-23 03:32:04.826891,6:27:06.980000,OFF,MODE_15W_6CORE,18,19,19,37,15,26,0,0,0,1293052,1293052,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.5,43.0,43.3,3117,3240
2021-06-23 03:32:05.404839,6:27:07.560000,OFF,MODE_15W_6CORE,16,22,17,10,10,10,0,0,0,1292448,1292448,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.0,43.0,43.3,2707,3062
2021-06-23 03:32:05.912699,6:27:08.070000,OFF,MODE_15W_6CORE,18,14,14,11,10,13,0,0,0,1292412,1292412,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.0,43.0,43.3,2584,2942
2021-06-23 03:32:06.461086,6:27:08.620000,OFF,MODE_15W_6CORE,20,15,19,9,12,14,0,0,0,1291384,1291384,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.0,43.0,43.3,2543,2862
2021-06-23 03:32:07.014895,6:27:09.170000,OFF,MODE_15W_6CORE,19,26,20,26,29,23,0,0,0,1293676,1293676,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,42.5,43.1,2830,2857
2021-06-23 03:32:07.504661,6:27:09.660000,OFF,MODE_15W_6CORE,92,32,41,39,71,47,0,3,3,1309316,1309316,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.1,4020,3023
2021-06-23 03:32:08.025338,6:27:10.180000,OFF,MODE_15W_6CORE,13,68,41,11,3,6,0,0,0,1421764,1421764,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.3,3856,3127
2021-06-23 03:32:08.534039,6:27:10.690000,OFF,MODE_15W_6CORE,13,9,21,4,10,68,5,0,0,1574532,1574532,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.3,3651,3185
2021-06-23 03:32:09.048664,6:27:11.200000,OFF,MODE_15W_6CORE,16,16,16,22,11,86,23,0,0,1655952,1655952,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.3,3733,3240
2021-06-23 03:32:09.601017,6:27:11.760000,OFF,MODE_15W_6CORE,11,21,14,15,9,90,10,0,0,1784016,1784016,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.5,43.0,43.45,3815,3292
