time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-06-23 03:35:16.692123,6:30:18.850000,OFF,MODE_15W_6CORE,17,24,15,16,24,17,0,0,0,1284704,1284704,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.0,41.5,41.95,2666,3542
2021-06-23 03:35:16.694575,6:30:18.850000,OFF,MODE_15W_6CORE,17,24,15,16,24,17,0,0,0,1284704,1284704,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.0,41.5,41.95,2666,3542
2021-06-23 03:35:17.251430,6:30:19.410000,OFF,MODE_15W_6CORE,16,28,53,34,11,11,0,0,0,1299000,1299000,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.0,42.0,41.95,3569,3569
2021-06-23 03:35:17.792227,6:30:19.950000,OFF,MODE_15W_6CORE,25,24,28,15,16,18,0,0,0,1293028,1293028,0,150,OFF,OFF,OFF,0.0,40.5,41.5,43.0,41.5,41.95,3158,3363
2021-06-23 03:35:18.325767,6:30:20.480000,OFF,MODE_15W_6CORE,13,20,7,19,7,7,0,0,0,1292720,1292720,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.0,41.5,41.95,2707,3144
2021-06-23 03:35:18.842836,6:30:21,OFF,MODE_15W_6CORE,11,11,15,12,13,11,0,0,0,1292336,1292336,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.0,42.0,41.95,2461,2973
2021-06-23 03:35:19.375635,6:30:21.530000,OFF,MODE_15W_6CORE,23,16,17,16,12,17,0,0,0,1292108,1292108,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.0,41.5,41.95,2543,2887
2021-06-23 03:35:19.938063,6:30:22.090000,OFF,MODE_15W_6CORE,22,16,20,17,21,11,0,0,0,1293008,1293008,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.0,41.5,41.95,2707,2857
2021-06-23 03:35:20.441898,6:30:22.600000,OFF,MODE_15W_6CORE,26,33,36,20,60,31,0,1,1,1308124,1308124,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.5,41.5,41.95,3487,2947
2021-06-23 03:35:20.965206,6:30:23.120000,OFF,MODE_15W_6CORE,7,7,90,11,19,4,0,0,0,1357420,1357420,0,150,OFF,OFF,OFF,0.0,41.0,41.5,43.5,41.5,42.15,3569,3025
