1 8 _ 0 3 _ 1 2 _ 2 1 9 7 2 9 ; 4 5 ; - 5 3 @ 1 M b p s
1 8 _ 0 3 _ 1 2 _ 5 7 5 9 3 4 ; 4 9 ; - 4 9 @ 1 M b p s
1 8 _ 0 3 _ 1 2 _ 9 6 7 4 2 8 ; 4 6 ; - 5 2 @ 1 M b p s
