time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-06-22 21:09:32.755000,0:04:34.880000,OFF,MODE_15W_6CORE,17,25,17,11,21,15,0,0,0,1276296,1276296,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2662,2560
2021-06-22 21:09:33.283664,0:04:35.410000,OFF,MODE_15W_6CORE,13,9,14,12,16,10,0,0,0,1276528,1276528,0,150,OFF,OFF,OFF,0.0,28.5,29.5,30.5,29.5,29.6,2539,2559
2021-06-22 21:09:33.804584,0:04:35.930000,OFF,MODE_15W_6CORE,7,15,9,6,13,9,0,0,0,1276676,1276676,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2375,2553
2021-06-22 21:09:34.341883,0:04:36.470000,OFF,MODE_15W_6CORE,16,17,18,13,16,11,0,0,0,1275732,1275732,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2375,2547
2021-06-22 21:09:34.880789,0:04:37.010000,OFF,MODE_15W_6CORE,20,20,18,13,17,18,0,0,0,1276252,1276252,0,150,OFF,OFF,OFF,0.0,29.0,29.0,30.5,29.5,29.6,2580,2548
2021-06-22 21:09:35.395222,0:04:37.520000,OFF,MODE_15W_6CORE,16,11,18,12,9,12,8,0,0,1276596,1276596,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2539,2547
2021-06-22 21:09:35.928649,0:04:38.060000,OFF,MODE_15W_6CORE,9,20,13,11,5,7,0,0,0,1277024,1277024,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2375,2542
2021-06-22 21:09:36.458035,0:04:38.590000,OFF,MODE_15W_6CORE,17,13,11,9,15,15,0,0,0,1275264,1275264,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.6,2293,2535
2021-06-22 21:09:37.007812,0:04:39.140000,OFF,MODE_15W_6CORE,21,20,20,21,16,14,12,0,0,1275388,1275388,0,150,OFF,OFF,OFF,0.0,28.5,29.5,30.5,29.5,29.95,2580,2536
2021-06-22 21:09:37.544171,0:04:39.670000,OFF,MODE_15W_6CORE,13,18,16,15,9,11,0,0,0,1276336,1276336,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.95,2621,2538
2021-06-22 21:09:38.075206,0:04:40.200000,OFF,MODE_15W_6CORE,15,11,15,16,3,9,0,0,0,1276516,1276516,0,150,OFF,OFF,OFF,0.0,28.5,29.5,30.5,29.5,29.6,2457,2536
2021-06-22 21:09:38.620067,0:04:40.750000,OFF,MODE_15W_6CORE,14,18,12,7,12,11,0,0,0,1275428,1275428,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2293,2530
2021-06-22 21:09:39.152088,0:04:41.280000,OFF,MODE_15W_6CORE,18,19,14,20,18,20,0,0,0,1275836,1275836,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.95,2539,2530
2021-06-22 21:09:39.683716,0:04:41.810000,OFF,MODE_15W_6CORE,16,14,16,15,12,19,0,0,0,1276284,1276284,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.95,2662,2533
2021-06-22 21:09:40.216254,0:04:42.340000,OFF,MODE_15W_6CORE,13,20,9,9,20,6,11,0,0,1276672,1276672,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.95,2498,2532
2021-06-22 21:09:40.736215,0:04:42.860000,OFF,MODE_15W_6CORE,9,12,9,7,13,5,0,0,0,1276160,1276160,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.95,2252,2526
2021-06-22 21:09:41.287721,0:04:43.420000,OFF,MODE_15W_6CORE,18,22,18,14,14,17,0,0,0,1275884,1275884,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.95,2416,2523
2021-06-22 21:09:41.813915,0:04:43.940000,OFF,MODE_15W_6CORE,20,28,17,15,9,15,28,0,0,1276724,1276724,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.8,2662,2526
2021-06-22 21:09:42.348955,0:04:44.480000,OFF,MODE_15W_6CORE,18,11,9,9,14,14,0,0,0,1276224,1276224,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.8,2498,2526
2021-06-22 21:09:42.865154,0:04:44.990000,OFF,MODE_15W_6CORE,13,11,15,11,9,9,0,0,0,1275800,1275800,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.75,2293,2521
2021-06-22 21:09:43.400637,0:04:45.530000,OFF,MODE_15W_6CORE,22,19,16,15,16,13,0,0,0,1275428,1275428,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.75,2416,2518
2021-06-22 21:09:43.932648,0:04:46.060000,OFF,MODE_15W_6CORE,20,20,13,20,12,15,0,0,0,1276444,1276444,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.8,2621,2521
2021-06-22 21:09:44.473908,0:04:46.600000,OFF,MODE_15W_6CORE,13,14,9,16,13,12,0,0,0,1276872,1276872,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.8,2498,2520
2021-06-22 21:09:45.000472,0:04:47.130000,OFF,MODE_15W_6CORE,9,13,11,14,15,9,0,0,0,1276868,1276868,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,30.1,2334,2516
2021-06-22 21:09:45.529683,0:04:47.660000,OFF,MODE_15W_6CORE,17,17,14,10,14,15,0,0,0,1275540,1275540,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,30.1,2375,2514
2021-06-22 21:09:46.079477,0:04:48.210000,OFF,MODE_15W_6CORE,20,25,16,16,13,16,0,0,0,1276008,1276008,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.95,2621,2516
2021-06-22 21:09:46.605017,0:04:48.730000,OFF,MODE_15W_6CORE,14,11,13,11,18,9,9,0,0,1276376,1276376,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.95,2539,2516
2021-06-22 21:09:47.120875,0:04:49.250000,OFF,MODE_15W_6CORE,18,15,9,9,7,9,0,0,0,1276528,1276528,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,30.1,2416,2514
2021-06-22 21:09:47.659290,0:04:49.790000,OFF,MODE_15W_6CORE,18,13,16,15,10,11,0,0,0,1275780,1275780,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,30.0,30.1,2293,2510
2021-06-22 21:09:48.194933,0:04:50.320000,OFF,MODE_15W_6CORE,23,17,16,16,20,23,0,0,0,1275804,1275804,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.95,2662,2513
2021-06-22 21:09:48.725018,0:04:50.850000,OFF,MODE_15W_6CORE,19,13,7,9,13,11,0,0,0,1276644,1276644,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.95,2580,2514
2021-06-22 21:09:49.262346,0:04:51.390000,OFF,MODE_15W_6CORE,14,19,14,11,9,13,0,0,0,1275976,1275976,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,30.0,29.95,2539,2514
2021-06-22 21:09:49.803200,0:04:51.930000,OFF,MODE_15W_6CORE,18,13,11,13,9,13,0,0,0,1276284,1276284,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.95,2293,2511
2021-06-22 21:09:50.323015,0:04:52.450000,OFF,MODE_15W_6CORE,22,23,22,13,22,24,0,0,0,1275936,1275936,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,30.0,30.1,2539,2511
2021-06-22 21:09:50.857523,0:04:52.990000,OFF,MODE_15W_6CORE,17,16,11,16,11,13,0,0,0,1277112,1277112,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,30.1,2621,2513
